Java HotSpot(TM) 64-Bit Server VM (24.79-b02) for bsd-amd64 JRE (1.7.0_79-b15), built on Apr 10 2015 11:35:04 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(4194304k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedOops -XX:+UseSerialGC 
0.559: [GC0.559: [DefNew: 418K->34K(448K), 0.0004510 secs] 949K->569K(1048512K), 0.0005680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.569: [GC0.569: [DefNew: 418K->35K(448K), 0.0001920 secs] 953K->574K(1048512K), 0.0002460 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.578: [GC0.578: [DefNew: 419K->39K(448K), 0.0004110 secs] 958K->583K(1048512K), 0.0004970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.588: [GC0.588: [DefNew: 423K->34K(448K), 0.0003170 secs] 967K->587K(1048512K), 0.0004050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.597: [GC0.598: [DefNew: 418K->34K(448K), 0.0001470 secs] 971K->591K(1048512K), 0.0002150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.606: [GC0.606: [DefNew: 418K->34K(448K), 0.0003030 secs] 975K->596K(1048512K), 0.0003700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.616: [GC0.616: [DefNew: 418K->36K(448K), 0.0001940 secs] 980K->601K(1048512K), 0.0002470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.625: [GC0.625: [DefNew: 420K->36K(448K), 0.0004850 secs] 985K->606K(1048512K), 0.0006220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.635: [GC0.635: [DefNew: 420K->37K(448K), 0.0004200 secs] 990K->611K(1048512K), 0.0005360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.645: [GC0.645: [DefNew: 421K->31K(448K), 0.0002900 secs] 995K->615K(1048512K), 0.0004110 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.655: [GC0.655: [DefNew: 415K->37K(448K), 0.0003250 secs] 999K->620K(1048512K), 0.0004340 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.664: [GC0.664: [DefNew: 421K->32K(448K), 0.0001530 secs] 1004K->624K(1048512K), 0.0001970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.674: [GC0.674: [DefNew: 416K->32K(448K), 0.0004270 secs] 1008K->628K(1048512K), 0.0005380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.683: [GC0.683: [DefNew: 416K->31K(448K), 0.0001550 secs] 1012K->633K(1048512K), 0.0001970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.693: [GC0.693: [DefNew: 415K->36K(448K), 0.0002760 secs] 1017K->638K(1048512K), 0.0003600 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.702: [GC0.702: [DefNew: 420K->36K(448K), 0.0002340 secs] 1022K->642K(1048512K), 0.0003050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.711: [GC0.711: [DefNew: 420K->36K(448K), 0.0001320 secs] 1026K->647K(1048512K), 0.0001780 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.720: [GC0.720: [DefNew: 420K->35K(448K), 0.0001480 secs] 1031K->651K(1048512K), 0.0001900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.728: [GC0.728: [DefNew: 419K->36K(448K), 0.0001340 secs] 1035K->656K(1048512K), 0.0001750 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.737: [GC0.737: [DefNew: 420K->36K(448K), 0.0001870 secs] 1040K->660K(1048512K), 0.0002410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.746: [GC0.746: [DefNew: 420K->36K(448K), 0.0001450 secs] 1044K->665K(1048512K), 0.0001950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.755: [GC0.755: [DefNew: 420K->31K(448K), 0.0001460 secs] 1049K->669K(1048512K), 0.0001860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.764: [GC0.764: [DefNew: 415K->36K(448K), 0.0001890 secs] 1053K->674K(1048512K), 0.0002510 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.773: [GC0.773: [DefNew: 420K->36K(448K), 0.0002210 secs] 1058K->679K(1048512K), 0.0002870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.782: [GC0.782: [DefNew: 420K->35K(448K), 0.0001600 secs] 1063K->683K(1048512K), 0.0002090 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.791: [GC0.792: [DefNew: 419K->36K(448K), 0.0001840 secs] 1067K->687K(1048512K), 0.0002410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.801: [GC0.801: [DefNew: 420K->35K(448K), 0.0001520 secs] 1071K->692K(1048512K), 0.0001920 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.809: [GC0.809: [DefNew: 419K->35K(448K), 0.0001800 secs] 1076K->696K(1048512K), 0.0002530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.818: [GC0.818: [DefNew: 419K->35K(448K), 0.0001960 secs] 1080K->700K(1048512K), 0.0002450 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.827: [GC0.827: [DefNew: 419K->35K(448K), 0.0001340 secs] 1084K->705K(1048512K), 0.0001790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.836: [GC0.836: [DefNew: 419K->35K(448K), 0.0002210 secs] 1089K->709K(1048512K), 0.0002950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.845: [GC0.846: [DefNew: 419K->35K(448K), 0.0002260 secs] 1093K->714K(1048512K), 0.0003020 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.855: [GC0.855: [DefNew: 419K->35K(448K), 0.0002370 secs] 1098K->719K(1048512K), 0.0003100 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.864: [GC0.864: [DefNew: 419K->35K(448K), 0.0001930 secs] 1103K->723K(1048512K), 0.0002910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.874: [GC0.874: [DefNew: 419K->35K(448K), 0.0002400 secs] 1107K->728K(1048512K), 0.0003010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.882: [GC0.882: [DefNew: 419K->35K(448K), 0.0002250 secs] 1112K->732K(1048512K), 0.0002970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.891: [GC0.891: [DefNew: 419K->35K(448K), 0.0001870 secs] 1116K->736K(1048512K), 0.0002430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.900: [GC0.900: [DefNew: 419K->34K(448K), 0.0001870 secs] 1120K->740K(1048512K), 0.0002410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.909: [GC0.909: [DefNew: 418K->34K(448K), 0.0001860 secs] 1124K->744K(1048512K), 0.0002480 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.919: [GC0.919: [DefNew: 418K->34K(448K), 0.0001780 secs] 1128K->748K(1048512K), 0.0002370 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.928: [GC0.928: [DefNew: 418K->34K(448K), 0.0001840 secs] 1132K->752K(1048512K), 0.0002420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.938: [GC0.938: [DefNew: 418K->33K(448K), 0.0002270 secs] 1136K->756K(1048512K), 0.0003170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.947: [GC0.947: [DefNew: 417K->34K(448K), 0.0001840 secs] 1140K->761K(1048512K), 0.0002410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.956: [GC0.956: [DefNew: 418K->34K(448K), 0.0001890 secs] 1145K->765K(1048512K), 0.0002440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
